Time,area,radius,ana
0,12.5658,1.999954591,12.56637061
4,12.364,1.983830495,12.3150432
8,12.1181,1.964003827,12.06371579
12,11.8648,1.943369017,11.81238838
16,11.6101,1.92239684,11.56106097
20,11.355,1.901159845,11.30973355
24,11.0997,1.879665993,11.05840614
28,10.8443,1.857914933,10.80707873
32,10.5888,1.835897525,10.55575132
36,10.3331,1.813595292,10.3044239
40,10.0774,1.791015368,10.05309649
44,9.82165,1.768142611,9.801769079
48,9.56573,1.744954563,9.550441667
52,9.30968,1.721442181,9.299114255
56,9.05353,1.6975948,9.047786842
60,8.79727,1.673397147,8.79645943
64,8.54085,1.648828976,8.545132018
68,8.28428,1.623874448,8.293804605
72,8.02756,1.598515471,8.042477193
76,7.7707,1.572733491,7.791149781
80,7.51366,1.546503236,7.539822369
84,7.25642,1.519799403,7.288494956
88,6.99896,1.49259444,7.037167544
92,6.74129,1.464861513,6.785840132
96,6.48339,1.436567831,6.534512719
100,6.22522,1.407675058,6.283185307
104,5.96677,1.378144361,6.031857895
108,5.70803,1.347932632,5.780530483
112,5.44893,1.316984544,5.52920307
116,5.18947,1.285246904,5.277875658
120,4.92958,1.252650809,5.026548246
124,4.66924,1.21912479,4.775220833
128,4.40837,1.184579146,4.523893421
132,4.14691,1.148913596,4.272566009
136,3.88475,1.112004645,4.021238597
140,3.62181,1.073712219,3.769911184
144,3.35794,1.033859516,3.518583772
148,3.09299,0.992234496,3.26725636
152,2.82669,0.948558576,3.015928947
156,2.55874,0.902481157,2.764601535
160,2.28871,0.853533256,2.513274123
164,2.0159,0.801049873,2.261946711
168,1.7393,0.74406746,2.010619298
172,1.45704,0.681021466,1.759291886
176,1.16551,0.609092239,1.507964474
180,0.855975,0.521982092,1.256637061
184,0.498574,0.398372983,1.005309649
188,0,0,0.753982237
192,0,0,0.502654825
196,0,0,0.251327412
200,0,0,0
