Time,energy,f_0 (stats),V ,c
0,12935.4,8191.98,16384,0.499998779
50,11752.8,8191.98,16384,0.499998779
100,11303.1,8191.98,16384,0.499998779
150,11171,8191.98,16384,0.499998779
200,11091,8191.98,16384,0.499998779
250,11037.4,8191.98,16384,0.499998779
300,10993.4,8191.98,16384,0.499998779
350,10956.8,8191.98,16384,0.499998779
400,10929.8,8191.98,16384,0.499998779
450,10911.5,8191.98,16384,0.499998779
500,10897.7,8191.98,16384,0.499998779
550,10887.6,8191.98,16384,0.499998779
600,10878.7,8191.98,16384,0.499998779
650,10869.5,8191.98,16384,0.499998779
700,10858.7,8191.98,16384,0.499998779
750,10848.6,8191.98,16384,0.499998779
800,10839.6,8191.98,16384,0.499998779
850,10830.6,8191.98,16384,0.499998779
900,10824.4,8191.98,16384,0.499998779
950,10818.1,8191.98,16384,0.499998779
1000,10811.9,8191.98,16384,0.499998779
