N,Time,energy,c
1,0,0.84223,-29.124
1,4,0.59698,-29.115
1,8,0.59386,-29.115
1,12,0.59319,-29.115
1,16,0.59257,-29.115
1,20,0.59143,-29.115
1,24,0.58972,-29.115
1,28,0.58777,-29.115
1,32,0.58482,-29.115
1,36,0.58114,-29.115
1,40,0.57553,-29.115
1,44,0.56836,-29.115
1,48,0.55681,-29.115
1,52,0.53704,-29.115
1,56,0.46134,-29.115
1,60,0.4523,-29.115
1,64,0.44209,-29.115
1,68,0.42527,-29.115
1,72,0.35199,-29.115
1,76,0.34798,-29.115
1,80,0.34749,-29.115
1,84,0.34724,-29.115
1,88,0.34709,-29.115
1,92,0.34699,-29.115
1,96,0.34692,-29.115
1,100,0.34687,-29.115
