Time,energy,c
0,17.2077,-0.00229191
0.5,7.60878,-0.00229092
1,5.59635,-0.00229135
1.5,4.72308,-0.002292
2,4.17518,-0.00229223
2.5,3.86648,-0.00229235
3,3.64522,-0.0022922
3.5,3.47742,-0.00229198
4,3.36304,-0.0022918
4.5,3.25581,-0.00229159
5,3.15217,-0.00229142
5.5,3.05164,-0.00229132
6,2.95373,-0.00229131
6.5,2.83142,-0.00229129
7,2.75608,-0.00229127
7.5,2.6923,-0.00229132
8,2.63782,-0.00229147
8.5,2.59199,-0.00229165
9,2.55423,-0.00229186
9.5,2.51784,-0.00229201
10,2.42492,-0.00229223
10.5,2.36976,-0.00229233
11,2.3298,-0.00229236
11.5,2.29877,-0.00229229
12,2.27412,-0.00229222
12.5,2.25438,-0.00229212
13,2.23959,-0.00229198
13.5,2.20388,-0.00229181
14,2.17759,-0.00229157
14.5,2.15696,-0.00229139
15,2.13939,-0.00229127
15.5,2.1238,-0.00229118
16,2.10951,-0.00229115
16.5,2.0961,-0.00229112
17,2.08331,-0.00229109
17.5,2.07099,-0.00229109
18,2.05906,-0.00229108
18.5,2.04747,-0.0022911
19,2.03619,-0.00229113
19.5,2.0252,-0.00229115
20,2.01448,-0.00229118
