Time,area,radius,ana
0,12.5637,1.999787468,12.56637061
4,12.3593,1.983453397,12.3150432
8,12.1117,1.963485128,12.06371579
12,11.8567,1.942705543,11.81238838
16,11.6006,1.921610175,11.56106097
20,11.344,1.900238761,11.30973355
24,11.0869,1.878581879,11.05840614
28,10.8302,1.856706689,10.80707873
32,10.5731,1.834535979,10.55575132
36,10.3158,1.812076467,10.3044239
40,10.0588,1.789361753,10.05309649
44,9.80135,1.766314412,9.801769079
48,9.5438,1.74295321,9.550441667
52,9.28644,1.719292197,9.299114255
56,9.02844,1.6952409,9.047786842
60,8.77083,1.670880576,8.79645943
64,8.51282,1.646121127,8.545132018
68,8.25462,1.620964883,8.293804605
72,7.99652,1.595422004,8.042477193
76,7.73788,1.569408711,7.791149781
80,7.47945,1.542978573,7.539822369
84,7.22053,1.516036306,7.288494956
88,6.96154,1.488599007,7.037167544
92,6.70238,1.460627884,6.785840132
96,6.44271,1.43205387,6.534512719
100,6.18321,1.402917272,6.283185307
104,5.92291,1.373069848,6.031857895
108,5.66277,1.342577996,5.780530483
112,5.40189,1.311287532,5.52920307
116,5.141,1.279230677,5.277875658
120,4.87921,1.246234641,5.026548246
124,4.61746,1.212346142,4.775220833
128,4.35481,1.177361064,4.523893421
132,4.09174,1.141245501,4.272566009
136,3.82785,1.103830828,4.021238597
140,3.56299,1.064957718,3.769911184
144,3.2975,1.024512982,3.518583772
148,3.03062,0.982179366,3.26725636
152,2.76229,0.937690896,3.015928947
156,2.49246,0.890715813,2.764601535
160,2.22032,0.84068413,2.513274123
164,1.94512,0.78686144,2.261946711
168,1.66562,0.728136878,2.010619298
172,1.37976,0.662715058,1.759291886
176,1.08299,0.587134076,1.507964474
180,0.763189,0.492879908,1.256637061
184,0.373539,0.34482047,1.005309649
188,0,0,0.753982237
192,0,0,0.502654825
196,0,0,0.251327412
200,0,0,0
