Time,area,radius
0,12.5658,1.999954591
4,12.364,1.983830495
8,12.1181,1.964003827
12,11.8648,1.943369017
16,11.6101,1.92239684
20,11.355,1.901159845
24,11.0997,1.879665993
28,10.8443,1.857914933
32,10.5888,1.835897525
36,10.3331,1.813595292
40,10.0774,1.791015368
44,9.82165,1.768142611
48,9.56573,1.744954563
52,9.30968,1.721442181
56,9.05353,1.6975948
60,8.79727,1.673397147
64,8.54085,1.648828976
68,8.28428,1.623874448
72,8.02756,1.598515471
76,7.7707,1.572733491
80,7.51366,1.546503236
84,7.25642,1.519799403
88,6.99896,1.49259444
92,6.74129,1.464861513
96,6.48339,1.436567831
100,6.22522,1.407675058
104,5.96677,1.378144361
108,5.70803,1.347932632
112,5.44893,1.316984544
116,5.18947,1.285246904
120,4.92958,1.252650809
124,4.66924,1.21912479
128,4.40837,1.184579146
132,4.14691,1.148913596
136,3.88475,1.112004645
140,3.62181,1.073712219
144,3.35794,1.033859516
148,3.09299,0.992234496
152,2.82669,0.948558576
156,2.55874,0.902481157
160,2.28871,0.853533256
164,2.0159,0.801049873
168,1.7393,0.74406746
172,1.45704,0.681021466
176,1.16551,0.609092239
180,0.855975,0.521982092
184,0.498574,0.398372983
188,0,0
192,0,0
196,0,0
200,0,0
